ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,rank,zscore
BP,GO:0010498,proteasomal protein catabolic process,174/3993,444/19395,9.565869524555758e-20,4.478537007997658e-16,3.27646120996515e-16,16913/242960/20620/16912/217410/22213/66725/30843/68292/59029/12753/56228/12389/18023/18858/71999/231672/108155/11865/170737/19171/75744/217166/103554/11816/14466/12328/214254/26554/20338/66105/99375/67163/23806/22209/66997/26420/19185/24105/52206/71538/28000/55992/75234/68795/19177/19165/15216/12398/231600/24086/67025/76892/59025/66753/69601/68098/20437/100494/218544/67118/19167/103583/18786/218215/27373/66413/17846/217379/26419/68999/93759/50868/104771/30945/22225/192193/20588/233900/19170/64209/22196/17222/68545/54644/14775/59008/223870/216157/108089/72844/26931/26444/216150/213990/56736/68366/320011/67089/66967/71472/19358/11993/50762/116891/270627/19164/70797/108086/21372/14828/19188/52892/18024/53323/76577/66498/22346/19359/110616/18763/21762/74126/19192/75788/216869/66313/140630/17463/70604/67338/223455/52377/224727/252870/57320/78913/26965/70247/77006/64136/19186/20316/269523/22214/217069/116870/68477/13194/71745/330171/76857/26443/219158/68817/67615/217734/70611/93739/19166/19172/56438/57765/74374/69259/11651/57438/66440/75717/67812/107568/109689/67604/63958,174,1.5,5.578853461774685
BP,GO:0048193,Golgi vesicle transport,117/3993,257/19395,1.464770893866773e-19,4.478537007997658e-16,3.27646120996515e-16,13858/52639/20661/56491/76308/66725/21787/99683/216131/11843/11765/20336/69162/56041/57440/13047/110379/338366/105504/19159/67727/20333/227648/56418/26554/69608/68581/238123/70349/54161/71169/16558/74105/107338/66629/66352/53620/16562/19376/67458/12847/70361/66397/76983/231580/50797/99371/231070/192292/19346/20742/12282/67397/66676/56494/214895/74051/17846/213827/56433/11776/59042/16783/98710/76332/66366/22318/67456/20660/26422/106522/78891/56395/67015/89867/77371/210148/78610/70297/217517/12068/67542/76483/54214/54189/20334/104303/11844/30960/207352/226421/11841/14451/66682/218035/269523/17274/17083/67180/76688/66890/320714/68166/16897/93739/50907/13430/67804/58244/21766/71116/26951/18777/68137/11840/56440/100855,117,1.5,6.443140732593072
BP,GO:0007005,mitochondrion organization,165/3993,436/19395,4.422510034476464e-17,9.014549620274526e-14,6.594971104043851e-14,22035/11740/52639/18952/403187/71361/66725/56295/68316/26926/66272/108155/17713/69821/17158/18673/14466/59040/53600/15525/68033/192652/56384/75778/70316/26420/234847/30059/56428/76614/66629/67003/20847/52538/227197/319801/20656/320528/67526/56322/74006/65114/208643/73078/19017/68943/67269/52838/71701/230895/15519/66865/230935/26401/15108/66592/67841/67900/30058/16000/381760/15510/68472/27377/20787/76559/68018/114896/12018/12125/229211/216805/11757/16905/229524/21854/18950/67844/329679/12124/56208/68342/14775/65111/68493/30055/171543/18412/338359/11545/74143/12421/225887/224805/51897/22631/66826/18975/70827/70397/11632/66046/72287/12015/14534/27397/110175/52892/66494/21856/214952/54636/75734/68198/67145/75788/18439/216869/76178/98496/72759/69923/28185/230649/15277/17993/57320/11739/66072/15234/69597/70772/71254/30954/83408/70383/192287/22333/20848/24071/66043/219158/12034/56749/67414/641376/53357/16476/108888/66821/14630/93739/67267/12176/66098/17858/72795/76854/74374/66377/11651/245860/56330/14102/67013,165,3,6.451046426743494
BP,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,146/3993,381/19395,8.518119308067098e-16,1.3022074892207577e-12,9.526843962969782e-13,16913/242960/20620/16912/217410/22213/66725/30843/68292/59029/12753/56228/12389/18858/71999/231672/108155/11865/170737/19171/75744/14466/12328/26554/20338/66105/99375/67163/23806/22209/66997/26420/19185/24105/52206/71538/55992/75234/68795/19177/19165/15216/12398/231600/24086/67025/59025/66753/68098/20437/100494/218544/67118/19167/103583/18786/218215/27373/66413/17846/217379/26419/68999/93759/104771/30945/22225/192193/20588/19170/64209/22196/17222/54644/59008/223870/108089/72844/26931/26444/216150/213990/56736/68366/67089/66967/71472/19358/11993/50762/116891/270627/19164/70797/108086/21372/14828/18024/53323/76577/66498/19359/110616/21762/74126/75788/216869/66313/140630/17463/70604/67338/223455/224727/252870/57320/78913/26965/70247/77006/269523/22214/217069/116870/68477/13194/71745/330171/76857/26443/219158/67615/70611/19166/19172/56438/57765/74374/69259/11651/66440/75717/67812/107568/109689/63958,146,4,5.799397175606643
BP,GO:0051186,cofactor metabolic process,177/3993,493/19395,1.2310992305072251e-15,1.3710027795625535e-12,1.0030144705669155e-12,11758/11674/14859/14872/14433/107747/192166/14104/14381/110208/27273/68603/15483/104112/67493/14261/60525/50887/74340/192156/53320/54486/15288/21991/15439/12409/14871/18023/75475/59027/108155/21351/14873/109129/17436/70456/14081/14635/55990/18746/26426/103140/14751/107476/17769/269951/56615/625249/226139/17448/17392/56428/27402/78920/232087/74316/19044/14431/18648/56451/18641/14854/56075/52538/67096/58810/320717/319801/266690/20656/30926/18477/56738/12398/66885/72106/19017/18597/11656/16828/68943/235339/108156/14651/18640/229709/69675/16000/107029/192185/20185/18655/56360/11757/54683/228026/72199/77697/17449/14775/54391/20916/53381/74104/11655/56421/18537/66646/100705/67800/21881/107869/56748/170789/20741/13382/213696/71147/67528/11677/67914/16548/19164/17319/236900/18024/13350/108099/110119/108682/223646/66154/72141/211666/18439/22275/208715/26425/171282/170718/108079/15467/104158/15277/18604/14555/15929/14151/57320/68837/17425/16922/68087/106564/13063/14862/269523/71883/70383/107766/20848/14528/19895/15488/12499/76187/269614/70025/56857/14630/108645/12974/22276/67834/16969/20655/269378,177,5.5,8.615893176101205
BP,GO:0031647,regulation of protein stability,112/3993,267/19395,1.345219407583863e-15,1.3710027795625535e-12,1.0030144705669155e-12,16987/14433/18628/15183/12955/12572/66725/18016/22258/20671/65973/12462/217166/215114/67020/18673/12328/210376/227648/11787/26554/67693/192652/231130/15161/230908/12464/58231/14252/12469/19090/231600/65114/17847/67025/215653/15901/68943/54396/52838/13636/68585/15519/20437/24110/73162/84092/103583/21454/16000/15510/18708/15481/17846/12461/20787/93759/12465/224824/16905/16783/74838/109676/227334/54644/328572/103425/192232/11785/22680/50884/68339/66671/56426/72344/23988/11933/56401/71472/19358/56289/14534/270627/21372/68453/16784/12520/74126/12914/18148/76563/54343/224727/170822/252870/57320/13481/11932/72400/269774/12317/66962/100503670/219158/12034/68817/18099/57438/12912/64010/22284/67604,112,5.5,4.327310675847714
BP,GO:0050821,protein stabilization,76/3993,163/19395,7.120568597443951e-14,5.556645835495049e-11,4.06519684999853e-11,14433/18628/12955/12572/20671/12462/215114/67020/18673/12328/210376/227648/11787/67693/192652/231130/15161/12464/58231/14252/12469/67025/215653/68943/54396/52838/13636/68585/15519/73162/21454/16000/15510/18708/12461/12465/224824/16783/74838/109676/328572/103425/192232/11785/22680/50884/66671/56426/72344/23988/11933/56401/71472/56289/270627/21372/68453/16784/74126/18148/54343/224727/170822/252870/57320/11932/269774/12317/66962/100503670/12034/18099/57438/12912/64010/22284,76,8,3.3849116855014203
BP,GO:0019693,ribose phosphate metabolic process,154/3993,428/19395,7.291229357588918e-14,5.556645835495049e-11,4.06519684999853e-11,11674/14433/14104/14381/110208/27273/18103/68603/15483/104112/66725/60525/192156/21991/98660/67054/66945/108155/21351/11717/55936/11949/70456/14081/14635/18746/230103/14751/107476/56248/56428/27402/18648/56451/227731/18641/52538/227197/319801/80914/56738/12398/66885/74006/72106/19017/18597/19139/16828/68943/235339/19384/270166/18640/226646/66592/16000/67059/15481/53893/74167/20185/26430/18655/72900/56360/216805/110095/84682/18950/228026/271639/54391/20916/105446/56421/331487/11947/11545/66588/68550/74143/66646/100705/225887/67800/21881/71679/28080/12859/66826/170789/13382/71147/67528/67914/18573/12015/79059/16548/22247/11564/19164/17319/236900/66445/13350/14679/108099/110119/19883/72141/17257/18439/208715/171282/98496/12857/108079/51797/104158/15277/18604/14555/57320/68837/17995/66072/17425/68087/106564/11946/13063/269523/18585/22272/20848/211948/19895/66043/15488/12499/56749/67414/269614/70025/67267/11964/328099/12974/16434/11957/16969/12867,154,8,7.246565198928416
BP,GO:0072594,establishment of protein localization to organelle,136/3993,364/19395,8.17821954529116e-14,5.556645835495049e-11,4.06519684999853e-11,12575/17472/15183/66725/240055/18969/16650/71983/233726/11865/12462/17713/16846/69821/15502/75751/108989/53600/15525/445007/24067/16647/11606/230908/12464/30059/56428/56338/66887/69482/67003/12469/320528/432486/56322/73078/12491/68943/52838/19384/230895/29858/15519/66865/234549/218544/66661/110750/56495/320938/16543/67398/56494/21454/30058/16649/15510/18708/11774/15481/105782/12461/20787/12465/98732/224824/11776/66384/14276/16905/16783/21854/76582/26413/16646/20660/30055/77938/13663/227720/58869/21849/213990/11600/11426/26416/22631/227699/70297/11632/70160/67437/19164/74504/19349/14828/16784/21856/75734/53421/67145/17381/75788/18633/19069/16648/69923/217337/28185/15277/71382/218441/54377/19052/16211/107045/13207/18767/21749/19058/271564/228607/20848/12034/140740/641376/75669/53869/269113/27057/52348/16480/11651/66233/71844/56330,136,8,6.583109822414753
BP,GO:0010256,endomembrane system organization,136/3993,372/19395,5.457765401561351e-13,3.0340214027770596e-10,2.219665354701985e-10,52076/71782/56491/235633/66725/17988/12389/69162/231672/13852/56041/57440/66508/338366/22234/67727/77579/227648/380712/12767/76707/68581/67163/84095/230908/68385/67878/107338/66629/66352/27008/23790/11826/70361/27374/19205/231580/17101/102607/235627/56298/99371/67767/27643/67886/20742/114128/68585/30934/66676/20720/84092/56495/78885/214895/70310/68968/330401/104015/217379/68018/98732/13400/11603/11776/15463/74349/16905/76332/109676/235567/56363/26413/26903/230709/12831/208263/18412/56426/54194/235406/207495/83431/70231/59041/89867/22631/20741/57784/20932/70297/72287/223697/109168/11652/18472/26396/104303/53421/13429/320191/18439/54137/19344/224727/76499/19156/207352/105722/11749/74015/70772/213211/68929/116870/22038/545192/17083/224640/66890/320714/53869/224630/27883/13430/58244/76854/67300/11651/71116/26951/12912/67181/225326/20655/67604,136,10.5,4.217743400441195
